125,Round1,Round2,Round3,Round4,Finals
SebastianRivera,TF,Dec,Dec,,
TreyChalifoux,,,,,
DevinSchroder,,,,,
DrewMattin,Dec,,,,
RayVonFoley,TF,,,,
RicoMontoya,,,,,
MalikHeinselman,,,,,
VitaliArujau,MD,MD,,,
JackMueller,Fall,MD,TB,Dec,
GageCurry,,,,,
JaySchwarm,,,,,
MichaelMcGee,TF,,,,
DrewHildebrandt,Dec,,,,
GabeTownsell,,,,,
ChristianMoody,,,,,
RonnieBresser,Fall,Dec,,,
SpencerLee,TF,MD,Fall,Dec,Dec
BryceWest,,,,,
AlexMackall,,,,,
SeanFausz,Dec,,,,
TravisPiotrowski,Dec,,,,
ColeVerner,,,,,
DackPunke,,,,,
SeanRussell,MD,MD,,,
PatGlory,TF,MD,,,
AlonzoAllen,,,,,
CarmenFerrante,,,,,
BrentFleetwood,Dec,,,,
ElijahOliver,Dec,,,,
ZekeMoisey,,,,,
KorbinMeink,,,,,
NicholasPiccininni,Fall,MD,Dec,,
